[2019-09-09 08:57:30,091] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/26.jpg 304 [0.02, 127.0.0.1:3151]
[2019-09-09 08:57:30,092] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/25.jpg 304 [0.02, 127.0.0.1:3150]
[2019-09-09 08:57:30,097] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/27.jpg 304 [0.02, 127.0.0.1:3163]
[2019-09-09 08:57:30,107] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/28.jpg 304 [0.01, 127.0.0.1:3155]
[2019-09-09 08:57:30,126] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/29.jpg 304 [0.02, 127.0.0.1:3150]
[2019-09-09 08:57:30,133] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/30.jpg 304 [0.02, 127.0.0.1:3151]
[2019-09-09 08:57:30,139] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/31.jpg 304 [0.02, 127.0.0.1:3163]
[2019-09-09 08:57:30,141] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/32.jpg 304 [0.02, 127.0.0.1:3157]
[2019-09-09 08:57:30,143] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/33.jpg 304 [0.02, 127.0.0.1:3158]
[2019-09-09 08:57:30,148] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/34.jpg 304 [0.02, 127.0.0.1:3155]
[2019-09-09 08:57:30,160] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/bg.jpg 304 [0.02, 127.0.0.1:3150]
[2019-09-09 08:57:30,164] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/35.jpg 304 [0.01, 127.0.0.1:3163]
[2019-09-09 08:57:30,167] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/1.png 304 [0.02, 127.0.0.1:3151]
[2019-09-09 08:57:30,215] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /static/index/%E5%9B%9E%E5%AE%B6.mp3 200 [0.06, 127.0.0.1:3157]
[2019-09-09 08:58:01,784] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.03, 127.0.0.1:3151]
[2019-09-09 08:58:01,824] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:3151]
[2019-09-09 08:58:01,830] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3163]
[2019-09-09 08:58:01,871] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/21.jpg 304 [0.01, 127.0.0.1:3163]
[2019-09-09 08:58:01,873] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/23.jpg 304 [0.01, 127.0.0.1:3151]
[2019-09-09 08:58:01,875] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/24.jpg 304 [0.01, 127.0.0.1:3150]
[2019-09-09 08:58:01,878] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/25.jpg 304 [0.01, 127.0.0.1:3155]
[2019-09-09 08:58:01,892] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/26.jpg 304 [0.03, 127.0.0.1:3158]
[2019-09-09 08:58:01,899] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/27.jpg 304 [0.03, 127.0.0.1:3182]
[2019-09-09 08:58:01,907] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/1.png 304 [0.02, 127.0.0.1:3163]
[2019-09-09 08:58:01,913] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/28.jpg 304 [0.02, 127.0.0.1:3150]
[2019-09-09 08:58:01,917] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/bg.jpg 304 [0.03, 127.0.0.1:3151]
[2019-09-09 08:58:01,926] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/29.jpg 304 [0.03, 127.0.0.1:3155]
[2019-09-09 08:58:01,948] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/30.jpg 304 [0.04, 127.0.0.1:3158]
[2019-09-09 08:58:01,956] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/35.jpg 304 [0.03, 127.0.0.1:3182]
[2019-09-09 08:58:01,961] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/33.jpg 304 [0.02, 127.0.0.1:3163]
[2019-09-09 08:58:01,964] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/32.jpg 304 [0.02, 127.0.0.1:3150]
[2019-09-09 08:58:01,967] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/31.jpg 304 [0.02, 127.0.0.1:3151]
[2019-09-09 08:58:01,971] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/34.jpg 304 [0.02, 127.0.0.1:3155]
[2019-09-09 09:01:56,692] [base.py:93] [base:get_response] [WARNING]- Not Found: /
[2019-09-09 09:01:56,740] [runserver.py:149] [runserver:log_action] [WARNING]- HTTP GET / 404 [0.20, 127.0.0.1:3341]
[2019-09-09 09:01:57,112] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2019-09-09 09:01:57,118] [runserver.py:149] [runserver:log_action] [WARNING]- HTTP GET /favicon.ico 404 [0.02, 127.0.0.1:3341]
[2019-09-09 09:02:00,459] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.05, 127.0.0.1:3341]
[2019-09-09 09:02:00,490] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:3341]
[2019-09-09 09:02:00,492] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3342]
[2019-09-09 09:02:01,569] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:3342]
[2019-09-09 09:02:01,572] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3341]
[2019-09-09 09:02:01,623] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/21.jpg 304 [0.02, 127.0.0.1:3341]
[2019-09-09 09:02:01,625] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/23.jpg 304 [0.01, 127.0.0.1:3342]
[2019-09-09 09:02:01,628] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/25.jpg 304 [0.01, 127.0.0.1:3355]
[2019-09-09 09:02:01,638] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/26.jpg 304 [0.02, 127.0.0.1:3356]
[2019-09-09 09:02:01,640] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/24.jpg 304 [0.02, 127.0.0.1:3354]
[2019-09-09 09:02:01,645] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/27.jpg 304 [0.02, 127.0.0.1:3357]
[2019-09-09 09:02:01,665] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/28.jpg 304 [0.02, 127.0.0.1:3342]
[2019-09-09 09:02:01,671] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/29.jpg 304 [0.03, 127.0.0.1:3341]
[2019-09-09 09:02:01,673] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/30.jpg 304 [0.02, 127.0.0.1:3354]
[2019-09-09 09:02:01,692] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/31.jpg 304 [0.03, 127.0.0.1:3357]
[2019-09-09 09:02:01,695] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/32.jpg 304 [0.03, 127.0.0.1:3356]
[2019-09-09 09:02:01,699] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/33.jpg 304 [0.03, 127.0.0.1:3355]
[2019-09-09 09:02:01,702] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/34.jpg 304 [0.02, 127.0.0.1:3342]
[2019-09-09 09:02:01,714] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/bg.jpg 304 [0.02, 127.0.0.1:3341]
[2019-09-09 09:02:01,716] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/35.jpg 304 [0.02, 127.0.0.1:3354]
[2019-09-09 09:02:01,719] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/1.png 304 [0.01, 127.0.0.1:3355]
[2019-09-09 09:02:01,789] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /static/index/%E5%9B%9E%E5%AE%B6.mp3 200 [0.04, 127.0.0.1:3355]
[2019-09-09 09:02:19,571] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.03, 127.0.0.1:3354]
[2019-09-09 09:02:19,601] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3341]
[2019-09-09 09:02:19,610] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.02, 127.0.0.1:3354]
[2019-09-09 09:02:19,647] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/23.jpg 304 [0.01, 127.0.0.1:3341]
[2019-09-09 09:02:19,649] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/24.jpg 304 [0.01, 127.0.0.1:3342]
[2019-09-09 09:02:19,651] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/21.jpg 304 [0.02, 127.0.0.1:3354]
[2019-09-09 09:02:19,655] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/26.jpg 304 [0.01, 127.0.0.1:3357]
[2019-09-09 09:02:19,657] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/25.jpg 304 [0.02, 127.0.0.1:3356]
[2019-09-09 09:02:19,660] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/27.jpg 304 [0.02, 127.0.0.1:3373]
[2019-09-09 09:02:19,687] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/29.jpg 304 [0.02, 127.0.0.1:3357]
[2019-09-09 09:02:19,690] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/28.jpg 304 [0.02, 127.0.0.1:3356]
[2019-09-09 09:02:19,693] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/30.jpg 304 [0.02, 127.0.0.1:3342]
[2019-09-09 09:02:19,701] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/33.jpg 304 [0.02, 127.0.0.1:3341]
[2019-09-09 09:02:19,705] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/32.jpg 304 [0.03, 127.0.0.1:3354]
[2019-09-09 09:02:19,711] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/31.jpg 304 [0.04, 127.0.0.1:3373]
[2019-09-09 09:02:19,723] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/35.jpg 304 [0.02, 127.0.0.1:3357]
[2019-09-09 09:02:19,732] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/34.jpg 304 [0.02, 127.0.0.1:3341]
[2019-09-09 09:02:19,735] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/bg.jpg 304 [0.02, 127.0.0.1:3342]
[2019-09-09 09:02:19,737] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/1.png 304 [0.03, 127.0.0.1:3356]
[2019-09-09 09:03:37,953] [base.py:93] [base:get_response] [WARNING]- Not Found: /
[2019-09-09 09:03:37,960] [runserver.py:149] [runserver:log_action] [WARNING]- HTTP GET / 404 [0.11, 127.0.0.1:3419]
[2019-09-09 09:03:41,936] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.06, 127.0.0.1:3419]
[2019-09-09 09:03:41,968] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:3419]
[2019-09-09 09:03:41,970] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3420]
[2019-09-09 09:03:42,688] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:3420]
[2019-09-09 09:03:42,696] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:3419]
[2019-09-09 09:03:42,728] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/21.jpg 304 [0.01, 127.0.0.1:3419]
[2019-09-09 09:03:42,747] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/23.jpg 304 [0.02, 127.0.0.1:3420]
[2019-09-09 09:03:42,750] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/24.jpg 304 [0.02, 127.0.0.1:3426]
[2019-09-09 09:03:42,752] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/25.jpg 304 [0.02, 127.0.0.1:3427]
[2019-09-09 09:03:42,760] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/26.jpg 304 [0.02, 127.0.0.1:3428]
[2019-09-09 09:03:42,774] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/27.jpg 304 [0.03, 127.0.0.1:3429]
